FIRM_ID,FIRM_NAME,SEARCH_TERM
108211,"ARIEL INVESTMENTS, LLC",:801-18767
108214,"NORTHEAST MANAGEMENT & RESEARCH CO., INC.",:801-15415
108236,CAPITAL GUARDIAN TRUST COMPANY,:801-60145
108237,MIDAS MANAGEMENT CORPORATION,:801-49079
108240,"UNION INVESTMENT ADVISORS, INC",:801-60008
108254,ADVISORY RESEARCH INC,:801-14172
108255,MOUNT LUCAS MANAGEMENT LP,:801-28254
108257,"COLUMBIA MANAGEMENT INVESTMENT ADVISERS, LLC",:801-25943
108260,"FIRST EAGLE INVESTMENT MANAGEMENT, LLC",:801-50659
108268,"ICON ADVISERS, INC.",:801-38868
108281,FIDELITY MANAGEMENT & RESEARCH COMPANY LLC,:801-7884
108344,SMH CAPITAL ADVISORS LLC,:801-54089
108345,BEAUMONT FINANCIAL PARTNERS LLC,:801-57100
284858,EMERALD TECHNOLOGY VENTURES AG,:802-108357
108383,BELL INVESTMENT ADVISORS INC,:801-56417
108392,BADGLEY PHELPS WEALTH MANAGERS,:801-9075
108425,"EMPIRIC ADVISORS, INC.",:801-31075
284615,"SEMILLERO ADVISORS, LLC",:802-108443
108468,DDJ CAPITAL MANAGEMENT LLC,:801-55001
108477,ALLIANCEBERNSTEIN L.P.,:801-56720
108488,"TRANSAMERICA INVESTMENT MANAGEMENT, LLC",:801-57089
108516,INTREPID CAPITAL MANAGEMENT INC,:801-47894
108517,"AFAM CAPITAL, INC.",:801-30528
285251,"MOUNTAIN PEAK WEALTH ADVISORS, LLC",:801-108534
108542,"SKBA CAPITAL MANAGEMENT, LLC",:801-56391
108561,ALM FIRST FINANCIAL ADVISORS LLC,:801-57980
108604,LADENBURG THALMANN ASSET MANAGEMENT INC,:801-54909
283613,"SOMA EQUITY PARTNERS, LP",:801-108610
108617,"FMR CO., INC.",:801-3447
108618,RNC GENTER CAPITAL MANAGEMENT,:801-55484
108633,AEW CAPITAL MANAGEMENT LP,:801-53421
108674,DAVIS SELECTED ADVISERS LP,:801-31648
108716,VALUE TREND CAPITAL MANAGEMENT LP,:801-56657
